Sr. No.,College Name,Placement %
225,"6203 - Marathwada Mitra Mandal's Institute of Technology, Lohgaon",67.10%
226,"6206 - Pune District Education Association's College of Engineering, Pune",60-70%
227,"6207 - Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri",70% - 85%
228,"6214 - K. E. Society's Rajarambapu Institute of Technology, Walwa",83.30%
229,"6217 - Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions",60%
230,"6219 - KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon",55-65%
231,"6220 - Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",70% - 80%
232,"6222 - Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji",77.82%
233,"6223 - Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",
234,"6250 - D.Y. Patil College of Engineering and Technology, Kolhapur",
235,"6265 - Walchand Institute of Technology, Solapur",
236,"6267 - Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",
237,"6268 - Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",
238,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon",
239,"6270 - Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",
240,"6271 - Pune Institute of Computer Technology, Dhankavdi",
241,"6272 - Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",
242,"6273 - Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi",
243,"6274 - Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune",
244,"6275 - Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon",
245,"6276 - MKSSS's Cummins College of Engineering for Women, Karvenagar",
246,"6277 - Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",
247,"6278 - All India Shri Shivaji Memorial Society's College of Engineering, Pune",
248,"6281 - Modern Education Society's College of Engineering, Pune",
249,"6282 - All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",
250,"6283 - Annasaheb Dange College of Engineering and Technology, Ashta",
251,"6284 - Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist",
252,"6285 - Bharati Vidyapeeth's College of Engineering for Women, Katraj",
253,"6288 - Bharati Vidyapeeth's College of Engineering, Kolhapur",
254,"6289 - B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa",
255,"6293 - Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",
256,"6298 - Zeal Education Society's Zeal College of Engineering & Reserch, Narhe",
257,"6303 - Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",
258,"6304 - Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita",
259,"6305 - Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",
260,"6307 - Dhole Patil Education Society, Dhole Patil College of Engineering",
261,"6308 - Shanti Education Society, A",
262,"6310 - Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering",
263,"6311 - Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology",
264,"6313 - Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal",
265,"6315 - Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",
266,"6317 - Sharad Institute of Technology College of Engineering, Yadrav",
267,"6318 - Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",
268,"6319 - Shahajirao Patil Vikas Pratishthan, S",
269,"6320 - K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",
270,"6321 - Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",
271,"6322 - Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",
272,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi",
273,"6325 - Alard Charitable Trust's Alard College of Engineering and Management, Pune",
274,"6419 - Nutan College of Engineering and Research, Talegaon Dabhade Tal",
275,"6466 - Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering",
276,"6468 - Swami Vivekananda Shikshan Sanstha, Dr",
277,"6545 - Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye",
278,"6609 - Jaihind College Of Engineering,Kuran",
279,"6625 - Universal College of Engineering & Research, Sasewadi",
280,"6628 - Dattakala Group Of Institutions, Swami",
281,"6634 - KJEI's Trinity Academy of Engineering, Yewalewadi",
282,"6635 - Samarth Group of Institutions, Bangarwadi",
283,"6640 - N. B. Navale Sinhgad College of Engineering, Kegaon",
284,"6643 - S K N Sinhgad College of Engineering, Korti Tal",
285,"6644 - Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",
286,"6649 - TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe",
